pado,insured_rate,disability_rate,electricity_access_rate,piped_water_access_rate,drainage_access_rate,floor_material_rate,occupants_per_room,average_schooling
False,0.6616052060737527,0.1818510484454085,0.9868073878627968,0.9868073878627968,0.9868073878627968,0.9736147757255936,1.32,8.64
True,0.56501677852349,0.1434563758389261,0.9973297730307076,0.9973297730307076,0.9986648865153538,0.9959946595460614,0.71,11.13
True,0.5681645087585682,0.1457222645341457,0.999003984063745,1.0,0.9970119521912352,0.9731075697211156,1.11,9.99
True,0.4998213647731332,0.1464808860307252,0.9956896551724138,0.9719827586206896,0.9935344827586208,0.9683908045977012,1.34,8.62
True,0.5541516245487365,0.1462093862815884,0.9984496124031008,0.9984496124031008,0.9984496124031008,0.992248062015504,0.85,10.81
True,0.6337209302325582,0.1482558139534883,0.9966405375139976,0.9944008958566628,0.9977603583426652,0.9910414333706606,0.83,12.73
False,0.6228622862286228,0.1818181818181818,0.9890625,0.9875,0.9890625,0.9703125,1.29,9.03
True,0.5420868040333188,0.1389741341516878,0.9919857524487978,0.9955476402493322,0.9973285841495992,0.9020480854853072,1.09,10.02
True,0.5854632913456442,0.1270637152990094,0.995777027027027,0.8631756756756757,0.9961993243243245,0.974802927927928,1.11,11.06
True,0.5854632913456442,0.1270637152990094,0.995777027027027,0.8631756756756757,0.9961993243243245,0.974802927927928,1.11,11.06
True,0.6013179571663921,0.0494233937397034,0.9969558599695586,0.9969558599695586,0.9969558599695586,0.9863013698630136,1.15,11.14
True,0.6521158129175947,0.0930957683741648,0.993920972644377,0.9240121580547112,0.9954407294832828,0.9878419452887538,0.99,10.66
True,0.5461165048543689,0.1966019417475728,0.9950124688279302,0.9950124688279302,0.9950124688279302,0.9875311720698254,1.12,10.75
True,0.6508563899868248,0.2187088274044795,0.9785407725321889,0.9742489270386266,0.9785407725321889,0.9785407725321889,0.85,12.33
True,0.6508563899868248,0.2187088274044795,0.9785407725321889,0.9742489270386266,0.9785407725321889,0.9785407725321889,0.85,12.33
True,0.5710925807141329,0.0932221509514646,0.9991204925241864,0.9850483729111698,0.9964819700967458,0.9780123131046614,1.4,8.48
True,0.6747608535688006,0.18027961736571,0.9949494949494948,0.9873737373737372,0.9949494949494948,0.9873737373737372,0.95,10.98
True,0.5392364793213149,0.1813361611876988,0.9924698795180724,0.9894578313253012,0.9924698795180724,0.9909638554216867,0.79,12.46
True,0.6427496236828901,0.1595584545910687,0.9906367041198502,0.9812734082397004,0.9756554307116104,0.8670411985018727,1.05,7.49
True,0.5674486803519062,0.0909090909090909,0.9834254143646408,0.9613259668508288,0.9834254143646408,0.8729281767955801,1.32,8.8
True,0.5097735029475644,0.0893577412348743,0.9941792782305006,0.930151338766007,0.9941792782305006,0.9906868451688008,1.0,10.7
True,0.5029850746268657,0.0723880597014925,0.998542274052478,0.9970845481049564,0.998542274052478,0.9839650145772596,1.02,9.73
False,0.7018820577164366,0.1089084065244667,0.9990176817288802,0.9666011787819252,1.0,0.8850687622789783,1.15,7.28
True,0.474102413184226,0.1147733961153619,0.995505617977528,0.9921348314606742,0.996629213483146,0.9786516853932584,0.99,9.08
True,0.5461165048543689,0.1966019417475728,0.9950124688279302,0.9950124688279302,0.9950124688279302,0.9875311720698254,1.12,10.75
False,0.6449961607371385,0.1057077041208088,0.9856115107913668,0.974306269270298,0.9660842754367934,0.8633093525179856,1.29,6.47
True,0.5696338837042355,0.1033740129217516,0.9969604863221884,0.9650455927051672,0.993920972644377,0.9817629179331308,1.01,10.04
True,0.5889949466591803,0.145985401459854,0.9833887043189368,0.9817275747508306,0.9833887043189368,0.978405315614618,0.72,12.44
True,0.5696338837042355,0.1033740129217516,0.9969604863221884,0.9650455927051672,0.993920972644377,0.9817629179331308,1.01,10.04
True,0.6205906480721903,0.151968826907301,0.9899641577060933,0.9863799283154122,0.9870967741935484,0.956989247311828,0.86,9.5
True,0.6439024390243903,0.1170731707317073,0.9942196531791908,0.9884393063583816,0.9956647398843932,0.9855491329479767,0.84,12.73
True,0.6339022954679223,0.0855405140278595,0.9888734353268428,0.9673157162726008,0.9881780250347704,0.9575799721835884,1.1,9.96
False,0.6129917657822507,0.0832570905763952,0.9873646209386282,0.9368231046931408,0.9783393501805054,0.8736462093862816,1.25,6.64
False,0.6449961607371385,0.1057077041208088,0.9856115107913668,0.974306269270298,0.9660842754367934,0.8633093525179856,1.29,6.47
True,0.5049396267837541,0.2777167947310647,1.0,1.0,1.0,0.986159169550173,1.31,10.23
True,0.6300623052959502,0.1588785046728972,0.9974726200505476,0.991575400168492,0.9974726200505476,0.995787700084246,0.83,13.05
True,0.6753720012146979,0.1020346188885514,0.9869358669833728,0.992874109263658,0.990498812351544,0.9619952494061758,1.42,9.54
True,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
True,0.509090909090909,0.0973737373737373,0.9948717948717948,0.9982905982905984,1.0,0.9145299145299144,1.02,9.57
True,0.3960526315789474,0.1546052631578947,0.9975903614457832,0.9566265060240964,0.9927710843373494,0.9975903614457832,1.22,8.58
True,0.5832211754149843,0.1592642440556303,1.0,0.9985074626865672,1.0,0.9985074626865672,0.99,10.94
True,0.422360248447205,0.0839751552795031,0.9884504331087584,0.985563041385948,0.9846005774783444,0.9307025986525506,1.03,8.68
